DTXSID,GUID
DTXSID0045624,06b42b6f-1f94-43c8-98a7-75945b8c4949
DTXSID0045703,88bfb76d-19e4-4320-a0f8-0d5de7f3cac1
DTXSID0045967,2fcaabb7-a215-4d67-8497-63c69532c958
DTXSID0045967,5cb9b33a-af2a-4161-9b16-6ec552fa1579
DTXSID0046432,0c132eec-9b19-48d8-b961-464b2c7ff2ed
DTXSID0046779,0dbcad25-daac-43a3-82f8-9ef40b9bcb7e
DTXSID0046779,b17078ee-1129-40f2-8f21-ae6a82e2f424
DTXSID0046808,d675ebf7-4fe3-4c9a-9371-0f577e9cf84f
DTXSID0046935,f81721d5-de90-479d-b231-468b4e3a4082
DTXSID0046987,9bbd750d-1e70-4c52-b0c1-fb6a19086515
DTXSID0046989,eec81ca8-074d-4613-89ab-81571186da5b
DTXSID0047030,85e9ec36-9abb-4c14-9cf9-cd2fd91ceddb
DTXSID0047111,9bb7247d-f7a7-46be-a3ab-906545f17c4d
DTXSID0047450,0f1b88df-b61c-44e4-aa74-cb72810bd9bd
DTXSID0047450,21d32e24-bb89-4746-bc3d-a91136a52df9
DTXSID0047535,cceeba87-7d3c-4062-a7d2-0e849b581530
DTXSID0048004,cab68ee4-0197-4d43-b54c-97c0f19e9ea9
DTXSID0048006,79b6d3d8-3a85-4175-b56a-820f2c649a33
DTXSID0048006,d6fb2221-1b62-4422-844c-3c0601ed02db
DTXSID0048268,a5c5063d-4c44-4d95-9c9e-2ae3df58908f
DTXSID0048345,66fe5207-391e-45c0-a089-5e98f3b12274
DTXSID0048397,3f33296d-5f7e-494a-81cf-843631cc32bb
DTXSID0048472,a140dda0-4958-4271-baed-3ef10251d8d8
DTXSID0048559,78a9a43b-ccea-421d-ac33-1b9243189f26
DTXSID0048559,139dfab3-82ea-4e3a-90e6-8f8ca77ff11f
DTXSID0048680,d2a6e532-fce0-495a-b23f-b553eb3b42b4
DTXSID0048844,c57a5c70-ecdc-47dc-b453-7473e8f6fee3
DTXSID0051784,c703e71a-6e9c-4e64-bf07-769682c15d9f
DTXSID0052839,0f0ac134-2e0d-44ad-8888-d15e7eb7a8f3
DTXSID0052839,31307e46-af79-4546-be51-68dc5690f74d
DTXSID00536258,63416865-3b68-43ee-940d-10cdaf73d31f
DTXSID0057754,4106a055-44aa-4194-9a2a-6cb9687b6b0e
DTXSID0057754,a83344e8-8684-4137-9f46-15dc9223e12d
DTXSID0058061,797c676f-c70b-4229-b338-afecec1b6b54
DTXSID0058198,b51dc1de-b157-41b8-aa36-d940e65d79f1
DTXSID0058693,fb2323e7-d6a2-4379-a0c6-a8a74748f7ea
DTXSID0058772,403af7af-f2d7-4a3b-8e35-22edb63250a2
DTXSID0058776,045abe0c-9f93-432a-9175-198fef88a6fd
DTXSID0058980,b1d0261e-f260-4be5-866e-3924320919da
DTXSID0059459,bda3235a-e16a-4f5e-b64b-3afeb58dc25f
DTXSID0060068,3ab6c743-6345-40bc-97f7-4a5e6cb7eb45
DTXSID0060191,e6a12838-0666-4e6c-980b-eaa803ea4544
DTXSID0061406,5700fb19-b473-4514-a0a7-446bf9c8d852
DTXSID0062551,a2939b3b-7fa7-4d8a-bf88-ec827f99d273
DTXSID0062551,ce5a1b18-0d7e-4cae-a520-0e9830b3ede8
DTXSID0069622,cef980ce-c471-421a-85f2-b928beb9c9e2
DTXSID00715783,dff0ad78-64b3-4997-b8d9-b7b40abd9cd0
DTXSID0073871,cb60fefc-c47e-430e-99b7-02a20d5f024a
DTXSID0075029,00073cc2-c801-467c-9039-fca63c78c6a9
